"rt","responses","trial_type","trial_index","time_elapsed","internal_node_id","subject","mid","view_history","qtype","index"
"14279","{""Q0"":""I consent to participate in the study""}","irbform","0","14317","0.0-0.0","9tg0pdt0tyo6hg4usoo44tyx0z79b4kd","A1HUUSCZ4I5SOP","","",""
"94763","","instructions","1","110084","0.0-1.0","9tg0pdt0tyo6hg4usoo44tyx0z79b4kd","A1HUUSCZ4I5SOP","[{""page_index"":0,""viewing_time"":7386},{""page_index"":1,""viewing_time"":3252},{""page_index"":2,""viewing_time"":21795},{""page_index"":3,""viewing_time"":58899},{""page_index"":4,""viewing_time"":3429}]","",""
"125604","{""Q0"":""A room with a tan, leather sofa. There is a wall of windows with white curtains. There's a brown desk with a laptop on it. There are two crystal candle holders with two candles on the desk. There are some potted plants on top of ledge by the window. Outside the window, you can see another house and cars parked.""}","survey-text","2","236698","0.0-2.0","9tg0pdt0tyo6hg4usoo44tyx0z79b4kd","A1HUUSCZ4I5SOP","","Description","1"
"128018","{""Q0"":""black laptop"",""Q1"":""potted plants on shelf"",""Q2"":""newspapers on desk"",""Q3"":""corner of sofa with white pillow, potted plants on window ledge"",""Q4"":""pile of clothes on sofa, pillow next to clothes"",""Q5"":""potted plant hanging from ceiling"",""Q6"":""car parked outside "",""Q7"":"""",""Q8"":"""",""Q9"":""""}","survey-text","3","365746","0.0-3.0","9tg0pdt0tyo6hg4usoo44tyx0z79b4kd","A1HUUSCZ4I5SOP","","Labeling","1"
"100850","{""Q0"":""A man and woman in blue uniforms are looking at a book. They are in a warehouse. There are heavy operating machines in the background. The man is wearing an earbud and is pointing at something in the book. He's also wearing a 2-way radio.""}","survey-text","4","467601","0.0-4.0","9tg0pdt0tyo6hg4usoo44tyx0z79b4kd","A1HUUSCZ4I5SOP","","Description","2"
"112643","{""Q0"":""part of shoulder"",""Q1"":""tatooed forearm"",""Q2"":""Gomez name on uniform"",""Q3"":""man's face with earbud"",""Q4"":""radio on uniform"",""Q5"":""finger pointing at book"",""Q6"":""part of uniform on chest and arm"",""Q7"":""woman's head"",""Q8"":""part of woman's body and arm"",""Q9"":""part of shoulder""}","survey-text","5","581264","0.0-5.0","9tg0pdt0tyo6hg4usoo44tyx0z79b4kd","A1HUUSCZ4I5SOP","","Labeling","2"
"35427","{""Q0"":""A woman wearing a black shirt has her hand touching her lips.""}","survey-text","6","617696","0.0-6.0","9tg0pdt0tyo6hg4usoo44tyx0z79b4kd","A1HUUSCZ4I5SOP","","Description","3"
"170866","{""Q0"":""part of shirt"",""Q1"":""part of arm with her hair behind"",""Q2"":""wrist"",""Q3"":""part of wrist and shirt"",""Q4"":""hand"",""Q5"":""part of shirt"",""Q6"":""eyes, nose and part of hand"",""Q7"":""part of face below eyes and fingers"",""Q8"":""part of lips, ear, neck and hair"",""Q9"":""part of shirt""}","survey-text","7","789594","0.0-7.0","9tg0pdt0tyo6hg4usoo44tyx0z79b4kd","A1HUUSCZ4I5SOP","","Labeling","3"
"75849","{""Q0"":""A blond woman is grabbing a package of green and red grape from a supermarket shelf. She is wearing a black coat and glasses. There's a red cart next to her. The shelves are full of packages with fruits and vegetables. There's a bag of vegetables inside the cart.""}","survey-text","8","866458","0.0-8.0","9tg0pdt0tyo6hg4usoo44tyx0z79b4kd","A1HUUSCZ4I5SOP","","Description","4"
"191607","{""Q0"":""shelf with prepackaged vegetables"",""Q1"":""part of shopping cart with bag of vegetable"",""Q2"":""part of woman's shoulder and back, packages of fruits"",""Q3"":""shelf with packages of fruits and vegetables"",""Q4"":""part of woman's coat and shopping cart"",""Q5"":""head and shoulders"",""Q6"":""packaged fruits, part of head"",""Q7"":""hand, packages of grapes"",""Q8"":""package of green grapes"",""Q9"":""packages of green and red grapes""}","survey-text","9","1059086","0.0-9.0","9tg0pdt0tyo6hg4usoo44tyx0z79b4kd","A1HUUSCZ4I5SOP","","Labeling","4"
"63369","{""Q0"":""A blond man, wearing glasses and a ring resting his face on his hand. He is wearing a white shirt and has a little bit of stubble.""}","survey-text","10","1123476","0.0-10.0","9tg0pdt0tyo6hg4usoo44tyx0z79b4kd","A1HUUSCZ4I5SOP","","Description","5"
"166364","{""Q0"":""part of shirt, neck and jaw"",""Q1"":""part of cheek, ear and shirt"",""Q2"":""part of shirt, neck and jaw"",""Q3"":""eye and half of glasses"",""Q4"":""lips, part of finger"",""Q5"":""nose"",""Q6"":""part of hand"",""Q7"":""eye with half of glasses, fingertip"",""Q8"":""fingers, ring"",""Q9"":""part of forehead, hair and glasses""}","survey-text","11","1290857","0.0-11.0","9tg0pdt0tyo6hg4usoo44tyx0z79b4kd","A1HUUSCZ4I5SOP","","Labeling","5"
"69232","{""Q0"":""Woman with short hair has armed crossed standing in front of a wooden item. SHe's wearing a gray hoodie and blue shirt. She's wearing a watch. ""}","survey-text","12","1361110","0.0-12.0","9tg0pdt0tyo6hg4usoo44tyx0z79b4kd","A1HUUSCZ4I5SOP","","Description","6"
"136009","{""Q0"":""part of wood and arm"",""Q1"":""top of wooden item and sky"",""Q2"":""wooden item and shoulder"",""Q3"":""part of hoodie and shirt"",""Q4"":""face"",""Q5"":""hoodie and part of arm, watch and hand"",""Q6"":""arm and hand"",""Q7"":""field, part of arm and hand"",""Q8"":""sky"",""Q9"":""dirt and shrubs""}","survey-text","13","1498144","0.0-13.0","9tg0pdt0tyo6hg4usoo44tyx0z79b4kd","A1HUUSCZ4I5SOP","","Labeling","6"
"58873","{""Q0"":""There is a fingerprint card with some fingerprints on it. There are some fingers pressing down on a finger on the card.""}","survey-text","14","1558039","0.0-14.0","9tg0pdt0tyo6hg4usoo44tyx0z79b4kd","A1HUUSCZ4I5SOP","","Description","7"
"97999","{""Q0"":""right hand label"",""Q1"":""fingerprint"",""Q2"":""left hand label"",""Q3"":""part of finger and fingerprint"",""Q4"":""part of fingers and fingerprint"",""Q5"":""part of fingers"",""Q6"":""knuckles"",""Q7"":""part of finger"",""Q8"":"""",""Q9"":""""}","survey-text","15","1657059","0.0-15.0","9tg0pdt0tyo6hg4usoo44tyx0z79b4kd","A1HUUSCZ4I5SOP","","Labeling","7"
"83269","{""Q0"":""Man wearing a judge's robe with a white collar and red tie. Man is sitting on a brown chair and is holding a gavel . There's a brown door behind him. He's sitting at a brown desk.""}","survey-text","16","1741338","0.0-16.0","9tg0pdt0tyo6hg4usoo44tyx0z79b4kd","A1HUUSCZ4I5SOP","","Description","8"
"135875","{""Q0"":""gavel"",""Q1"":""robe and part of chair"",""Q2"":""door"",""Q3"":""part of desk"",""Q4"":""part of robe and chair"",""Q5"":""face"",""Q6"":""part of robe, tie and desk"",""Q7"":""tie and part of robe"",""Q8"":""shoulder"",""Q9"":""part of arm""}","survey-text","17","1878230","0.0-17.0","9tg0pdt0tyo6hg4usoo44tyx0z79b4kd","A1HUUSCZ4I5SOP","","Labeling","8"
"118945","{""Q0"":""A man is standing outside a store front behind a wooden table. He is wearing a white apron and blue jeans with white sneakers. Thee are pieces of meat hanging from the front of the store. The store windows are full of jars and packages of food. There is a scale on a white table. Theres a blue bin next to the table.""}","survey-text","18","1998191","0.0-18.0","9tg0pdt0tyo6hg4usoo44tyx0z79b4kd","A1HUUSCZ4I5SOP","","Description","9"
"103104","{""Q0"":""packages of food"",""Q1"":""sign and meat hanging from ceiling"",""Q2"":""blue bin, towel, food packages, "",""Q3"":""scale , jars of food"",""Q4"":""man, table"",""Q5"":""letters, meat, food packages"",""Q6"":"""",""Q7"":"""",""Q8"":"""",""Q9"":""""}","survey-text","19","2102326","0.0-19.0","9tg0pdt0tyo6hg4usoo44tyx0z79b4kd","A1HUUSCZ4I5SOP","","Labeling","9"
"148639","{""Q0"":""A woman wearing a pink shirt with jeans is pushing a shopping cart with a toddler in it. She is carrying a white purse and wearing sunglasses. The toddler is wearing a red plaid shirt, denim shorts and red shoes. She is in a parking lot and there are cars parked around in the background.""}","survey-text","20","2251970","0.0-20.0","9tg0pdt0tyo6hg4usoo44tyx0z79b4kd","A1HUUSCZ4I5SOP","","Description","10"
"295516","{""Q0"":""front of shopping cart "",""Q1"":""parking lot with car"",""Q2"":""parking lot with car"",""Q3"":""toddlers face, shoulder, arm and hand"",""Q4"":""part of arms, part of torso and knees"",""Q5"":""knees and legs"",""Q6"":""face and shoulder"",""Q7"":""arm, part of purse and chest"",""Q8"":""rear and part of purse"",""Q9"":""elbow, purse""}","survey-text","21","2548518","0.0-21.0","9tg0pdt0tyo6hg4usoo44tyx0z79b4kd","A1HUUSCZ4I5SOP","","Labeling","10"
